pk_cid,probabilidad_em_acount,nombre_grupo
1278042,0.9337334098802036,Universitarios inactivos
1282142,0.9328475974922008,Universitarios inactivos
1174377,0.9319301654256844,Clientes de nómina
1219192,0.9312251651494086,Clientes de nómina
1182603,0.9310589129207733,Clientes de nómina
1334733,0.9300336221620088,Clientes de nómina
1343367,0.9298531495213508,Clientes de nómina
1222434,0.9293713461927702,Clientes de nómina
1139418,0.9290895433323152,Clientes de nómina
1175121,0.9279616355077366,Clientes de nómina
1312136,0.9279426553922694,Clientes de nómina
1188416,0.9278682447994582,Clientes de nómina
1185132,0.9277903266074784,Universitarios recién llegados
1304987,0.9276100028808262,Clientes de nómina
1343481,0.9275857620277538,Clientes de nómina
1333709,0.9266766908572474,Clientes de nómina
1352306,0.9266032428645338,Clientes de nómina
1176045,0.9262378715787082,Clientes de nómina
1177352,0.926176545143106,Universitarios recién llegados
1219461,0.9260910623346172,Clientes de nómina
1373687,0.9259394920751928,Clientes de nómina
1143334,0.925749610812141,Clientes de nómina
1328297,0.925535183610148,Clientes de nómina
1323686,0.925384427834158,Clientes de nómina
1294330,0.9252699276484658,Clientes de nómina
1322434,0.9250971013610052,Clientes de nómina
1277246,0.9250856723606632,Clientes de nómina
1270879,0.9250668981294432,Clientes de nómina
1346626,0.924951589465931,Clientes de nómina
1218540,0.9243862994142198,Universitarios recién llegados
1273534,0.9242528484448468,Clientes de nómina
1310787,0.923539326739606,Clientes de nómina
1348441,0.9233633078354284,Universitarios recién llegados
1189027,0.923163669925714,Universitarios recién llegados
1319095,0.923088784906786,Clientes de nómina
1296751,0.9230788626548044,Clientes de nómina
1293194,0.9229789716705296,Universitarios recién llegados
1139629,0.9228462602002,Universitarios recién llegados
1154437,0.9227757789643184,Clientes de nómina
1141754,0.9226475577332502,Clientes de nómina
1332983,0.9220246042712242,Clientes de nómina
1276580,0.9219802529036976,Clientes de nómina
1358585,0.9218509660284584,Universitarios recién llegados
1283906,0.9217916773866692,Clientes de nómina
1277278,0.9217202997621664,Clientes de nómina
1214240,0.92157653535392,Clientes de nómina
1284821,0.921561167115996,Clientes de nómina
1192549,0.9215003478390852,Universitarios recién llegados
1285668,0.9213549368419368,Universitarios inactivos
1332361,0.9212901411013056,Clientes de nómina
1188368,0.9211890744180792,Clientes de nómina
1171409,0.9211780436082962,Clientes de nómina
1317336,0.920978730553586,Universitarios recién llegados
1200749,0.9209069766103471,Universitarios recién llegados
1269412,0.9209068885871656,Clientes de nómina
1273380,0.9208044156670984,Universitarios recién llegados
1276963,0.9206493378486872,Universitarios recién llegados
1283361,0.9205677369369591,Clientes de nómina
1177768,0.9204329164965268,Universitarios recién llegados
1302885,0.920267917029468,Clientes de nómina
1226461,0.9201364517025696,Clientes de nómina
1199972,0.920080943064303,Universitarios recién llegados
1154370,0.9200683583561796,Universitarios recién llegados
1323501,0.9199645212787584,Clientes de nómina
1324833,0.9199272018137438,Clientes de nómina
1163907,0.9197218402262856,Clientes de nómina
1327561,0.9197062848489664,Clientes de nómina
1170243,0.9195038531298418,Clientes de nómina
1276830,0.9194037159859478,Clientes de nómina
1214299,0.9193900727618542,Clientes de nómina
1357727,0.919263781833563,Clientes de nómina
1204250,0.9191839394510812,Clientes de nómina
1358335,0.9190635815158236,Clientes de nómina
1183984,0.9189298046182272,Clientes de nómina
1268469,0.9188755337947754,Clientes de nómina
1306194,0.9188709759381776,Clientes de nómina
1183778,0.9187845592694788,Clientes de nómina
1323906,0.9187837025396784,Clientes de nómina
1271258,0.9187507670011734,Universitarios recién llegados
1141993,0.9186854202849823,Clientes de nómina
1184936,0.9186303496368776,Clientes de nómina
1277357,0.918527652968034,Universitarios inactivos
1281118,0.9184381133595928,Clientes de nómina
1146269,0.9183817790719112,Clientes de nómina
1169633,0.9183016072393776,Clientes de nómina
1145952,0.918271635109718,Universitarios inactivos
1153431,0.918212634852316,Universitarios recién llegados
1183510,0.9180609156448094,Clientes de nómina
1209484,0.9179417083783658,Clientes de nómina
1288433,0.9177079986975484,Clientes de nómina
1279082,0.9176560268911544,Universitarios recién llegados
1211875,0.917578708585106,Clientes de nómina
1280877,0.9172298814226428,Clientes de nómina
1284639,0.9171260795398416,Clientes de nómina
1193345,0.9171191260080294,Universitarios inactivos
1289007,0.9171106977723557,Clientes de nómina
1323334,0.9170615624871064,Clientes de nómina
1313470,0.9169829538184922,Clientes de nómina
1148496,0.916758445099718,Clientes de nómina
1282878,0.9167425211567524,Universitarios recién llegados
1344359,0.91673809103507,Clientes de nómina
1319405,0.9166689671721316,Clientes de nómina
1277338,0.9166005380431034,Clientes de nómina
1289214,0.9165853067074872,Clientes de nómina
1303421,0.9165438209875054,Clientes de nómina
1332455,0.9164766761909208,Clientes de nómina
1183845,0.9164593232125104,Clientes de nómina
1312725,0.9164190945882272,Clientes de nómina
1291381,0.9164077003367096,Clientes de nómina
1154521,0.9163931875665796,Clientes de nómina
1152739,0.9163850801923492,Clientes de nómina
1271196,0.9162450021347314,Clientes de nómina
1164590,0.9162333795869392,Clientes de nómina
1351077,0.9161658287657092,Clientes de nómina
1148732,0.9160936272500166,Clientes de nómina
1278190,0.9159993395036466,Clientes de nómina
1280476,0.915866208064139,Clientes de nómina
1321826,0.9158629928472176,Clientes de nómina
1296895,0.9158094693521878,Clientes de nómina
1318250,0.9157859752417538,Clientes de nómina
1160305,0.9156472970268722,Universitarios inactivos
1218514,0.9155783153437476,Clientes de nómina
1142948,0.915465928743188,Clientes de nómina
1190466,0.91541431180514,Clientes de nómina
1318600,0.915378288259144,Clientes de nómina
1161447,0.9153240598803164,Clientes de nómina
1204917,0.9152821407939778,Universitarios inactivos
1207271,0.915098878867023,Clientes de nómina
1169659,0.9150834974231252,Clientes de nómina
1345354,0.915061739752074,Clientes de nómina
1274695,0.9149608316958362,Clientes de nómina
1160003,0.9149456504749762,Clientes de nómina
1159787,0.9148733082507003,Clientes de nómina
1165575,0.9148733082507003,Clientes de nómina
1190516,0.9148088039106496,Clientes de nómina
1159859,0.9147498689349272,Clientes de nómina
1289659,0.9147252592436524,Universitarios recién llegados
1343382,0.9146630069487112,Clientes de nómina
1314444,0.9146162956203912,Clientes de nómina
1163371,0.9145504005777884,Clientes de nómina
1159910,0.9145246993063444,Universitarios recién llegados
1341355,0.9145165261259944,Universitarios recién llegados
1209385,0.9144781625286484,Clientes de nómina
1169473,0.91440212679857,Clientes de nómina
1170394,0.91440212679857,Clientes de nómina
1166987,0.9142565892651692,Clientes de nómina
1293112,0.9142173045463746,Clientes de nómina
1317187,0.9141312777094096,Universitarios recién llegados
1174543,0.9141288452363932,Clientes de nómina
1142070,0.9139623078639508,Universitarios recién llegados
1275552,0.9139511713258088,Clientes de nómina
1309722,0.9138857826732456,Clientes de nómina
1314730,0.913734877812182,Universitarios recién llegados
1345791,0.9137336495445711,Clientes de nómina
1334854,0.9136910527321296,Clientes de nómina
1216210,0.9135771585827164,Universitarios inactivos
1305556,0.9134461856003122,Universitarios recién llegados
1178028,0.9133964534726076,Clientes de nómina
1357455,0.9132846315853173,Clientes de nómina
1169037,0.9132676440419512,Clientes de nómina
1143777,0.913208805627118,Clientes de nómina
1300620,0.9131695566197175,Clientes de nómina
1180776,0.9127252209973826,Universitarios inactivos
1274441,0.9126532178767394,Clientes de nómina
1316384,0.9126117278710264,Clientes de nómina
1188948,0.9125467502260434,Clientes de nómina
1282177,0.9124643631062778,Clientes de nómina
1309559,0.912455635777263,Clientes de nómina
1219360,0.9124233445238208,Clientes de nómina
1205991,0.9124199347643296,Clientes de nómina
1300936,0.9123801552634906,Clientes de nómina
1353429,0.9123614437972952,Clientes de nómina
1290023,0.9123327995386838,Clientes de nómina
1150998,0.9119758989345096,Universitarios recién llegados
1198403,0.9119280744147512,Universitarios recién llegados
1215818,0.9119083710603834,Universitarios recién llegados
1223488,0.9117607558256072,Clientes de nómina
1203932,0.9117573225941412,Clientes de nómina
1336225,0.9117412115618616,Universitarios recién llegados
1296624,0.9116221118798432,Clientes de nómina
1182589,0.9115644285987452,Clientes de nómina
1149871,0.9115546641289448,Clientes de nómina
1198064,0.9113497977073168,Clientes de nómina
1235853,0.9112734548576584,Universitarios recién llegados
1230057,0.9111290699909488,Universitarios recién llegados
1306433,0.911041224459994,Clientes de nómina
1358455,0.9110257625749836,Universitarios recién llegados
1300880,0.9110048904803716,Clientes de nómina
1159402,0.910975626886533,Clientes de nómina
1297625,0.9109547567771936,Clientes de nómina
1170398,0.9109101384293312,Clientes de nómina
1150209,0.910454557470103,Clientes de nómina
1203739,0.9104357333809604,Clientes de nómina
1148535,0.9102886630615428,Clientes de nómina
1210825,0.9102026021321132,Clientes de nómina
1335867,0.9101542698444208,Clientes de nómina
1158570,0.909997319627408,Universitarios recién llegados
1159226,0.9099795506810952,Clientes de nómina
