pk_cid,probabilidad_pension_plan,nombre_grupo
1249234,0.9070653856081288,Universitarios inactivos
1234738,0.902128044039568,Universitarios recién llegados
1264530,0.9013504119831324,Clientes de nómina
1259934,0.9011144988750748,Universitarios recién llegados
1051365,0.9009432299999194,Clientes de nómina
1241318,0.9007690360280444,Clientes de nómina
1266975,0.9005598864796919,Clientes de nómina
1259485,0.9005583251670087,Clientes de nómina
1177721,0.9000382495558843,Universitarios recién llegados
1208895,0.8993106587078593,Clientes de nómina
1243200,0.8990663840966345,Universitarios recién llegados
1230927,0.8985667387759152,Clientes de nómina
1255976,0.898541019419482,Clientes de nómina
1243271,0.8985311376935463,Clientes de nómina
1181448,0.8983979614703238,Universitarios inactivos
1252899,0.8981849428798121,Clientes de nómina
1134964,0.8978535034581284,Universitarios recién llegados
1173023,0.897611377014818,Universitarios recién llegados
1233469,0.8975088155385138,Universitarios recién llegados
1131708,0.8974815534112923,Clientes de nómina
1251539,0.8972536974907357,Universitarios recién llegados
1230889,0.8970039635622228,Universitarios inactivos
1076504,0.8969487220480825,Universitarios recién llegados
1217704,0.8967823276006661,Clientes de nómina
1240325,0.8967612521815842,Clientes de nómina
1332970,0.8962511788336881,Universitarios recién llegados
1256119,0.8962012963598823,Clientes de nómina
1243395,0.8959061187440208,Clientes de nómina
1181430,0.8958272033105226,Universitarios recién llegados
1277586,0.895654772308133,Universitarios recién llegados
1336281,0.8955115261558293,Universitarios recién llegados
1307977,0.8954049979041621,Universitarios recién llegados
1077335,0.895335098395504,Universitarios inactivos
1140908,0.8951112758331308,Clientes de nómina
1257721,0.8949050064055736,Clientes de nómina
1236491,0.8948267218380439,Universitarios recién llegados
1213226,0.8944622366195834,Universitarios recién llegados
1243253,0.8942772252465867,Clientes de nómina
1140936,0.8940892991668125,Clientes de nómina
1252896,0.8940017828033759,Universitarios recién llegados
1256802,0.8939340520146613,Universitarios recién llegados
1299892,0.8938202882485636,Universitarios inactivos
1300239,0.8936890975382477,Clientes de nómina
1241332,0.8935497584134362,Universitarios inactivos
1122334,0.8934587480973172,Clientes de nómina
1264635,0.8933329718943845,Universitarios recién llegados
1336383,0.8926545738400891,Universitarios recién llegados
1236179,0.8924842969249013,Clientes de nómina
1234479,0.8924767356726204,Universitarios inactivos
1126222,0.8924475369348145,Universitarios recién llegados
1118939,0.8923641548528104,Clientes de nómina
1134963,0.8923512436481414,Universitarios recién llegados
1071812,0.8921972636843382,Universitarios recién llegados
1312538,0.8921518567397624,Universitarios recién llegados
1202303,0.8921129280881115,Clientes de nómina
