pk_cid,probabilidad_pension_plan
1249234,0.9070653856081288
1234738,0.9021280440395679
1264530,0.9013504119831324
1259934,0.9011144988750749
1051365,0.9009432299999194
1241318,0.9007690360280443
1266975,0.9005598864796919
1259485,0.9005583251670087
1177721,0.9000382495558843
1208895,0.8993106587078593
1243200,0.8990663840966345
1230927,0.8985667387759152
1255976,0.898541019419482
1243271,0.8985311376935463
1181448,0.8983979614703238
1252899,0.8981849428798121
1134964,0.8978535034581284
1173023,0.897611377014818
1233469,0.8975088155385138
1131708,0.8974815534112923
1251539,0.8972536974907357
1230889,0.8970039635622228
1076504,0.8969487220480825
1217704,0.8967823276006661
1240325,0.8967612521815842
1332970,0.8962511788336881
1256119,0.8962012963598823
1243395,0.8959061187440208
1181430,0.8958272033105226
1277586,0.895654772308133
1336281,0.8955115261558293
1307977,0.8954049979041621
1077335,0.895335098395504
1140908,0.8951112758331308
1257721,0.8949050064055736
1236491,0.8948267218380439
1213226,0.8944622366195834
1243253,0.8942772252465867
1140936,0.8940892991668125
1252896,0.8940017828033759
1256802,0.8939340520146613
1299892,0.8938202882485636
1300239,0.8936890975382477
1241332,0.8935497584134362
1122334,0.8934587480973172
1264635,0.8933329718943845
1336383,0.8926545738400891
1236179,0.8924842969249013
1234479,0.8924767356726204
1126222,0.8924475369348145
1118939,0.8923641548528104
1134963,0.8923512436481414
1071812,0.8921972636843382
1312538,0.8921518567397624
1202303,0.8921129280881115
1249626,0.8920799511330911
1142218,0.8918863521977274
1114089,0.8916917813723251
1256797,0.8916853495854792
1024006,0.8913988843927397
1138496,0.8912641052715096
1208506,0.890796337806982
1053156,0.8905756271211798
1253469,0.8902100822931338
1120364,0.8893217993520951
1226620,0.8890053313022558
1131824,0.8888300035736921
1318890,0.8885208675874345
1137413,0.8883666306634965
1229018,0.8883077320401863
1105267,0.8879853925875391
1064161,0.8874079786557142
1019851,0.8871651360904537
1021252,0.8871651360904537
1181556,0.8871558574786782
1167853,0.886917278179092
1131657,0.8865786746866593
1192028,0.8865361346434251
1191560,0.8863655161215623
1139521,0.8862626185358042
1170226,0.8857366700636469
1108549,0.8857190223650286
1221079,0.8856646360277602
1181472,0.8852942976418721
1248906,0.8850705390210174
1111536,0.8849559457444943
1057725,0.8847810271428356
1185801,0.8847305631953079
1111789,0.8846972516192706
1240145,0.8845340695415829
1118700,0.884356532256279
1281640,0.8843051997535821
1298234,0.8842844910444021
1194094,0.884232373489377
1112713,0.8841756922575905
1212519,0.8841052490348418
1184434,0.8840364692499261
1211267,0.8839065212618914
1237252,0.8839020187899383
1135942,0.8837614318949166
1164151,0.8834136324106847
1131457,0.8832247212163407
1226628,0.8831941749941329
979007,0.8830791431613335
1112239,0.8829343939788032
1078300,0.8828472156846718
1136728,0.8827385155411014
1085981,0.8825812289838151
1246188,0.8824458518711846
1115345,0.8822913997011911
1116120,0.8821474693767629
1248034,0.8821251671246176
1298808,0.882055060432256
1089047,0.8818332433508753
1124584,0.8816628789371181
1316534,0.8813801515761464
1026317,0.8811872821876913
1051271,0.8810717194233523
1219166,0.8810429261059977
1102101,0.8809689688304883
1083026,0.8807199270071385
1172967,0.880672447100759
1255933,0.8806296026417385
1125124,0.8806178536536701
1079793,0.8804639558019105
1212696,0.8803350775679164
1122866,0.879994991341501
1113511,0.8799657885244274
1094257,0.8799636714527123
